quiet_threshold,single_threshold,expression_filter,endpoint,method,auroc,auprc,n,positives,prevalence,auprc_over_prevalence
0.2,0.2,all,all_PRN_covered,prn_counterdirection,0.605261125168138,0.00022627871189198715,594986,65,0.00010924626797941464,2.071271779596398
0.2,0.2,all,all_PRN_covered,prn_active_balance,0.5976238086168648,0.00019880824168952573,594986,65,0.00010924626797941464,1.8198172383059101
0.2,0.2,all,optimal_pair_matched_1_to_10,quietness,0.49488757396449706,0.09282561805562606,715,65,0.09090909090909091,1.0210817986118865
0.2,0.2,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5244615384615384,0.12435202799531084,715,65,0.09090909090909091,1.3678723079484192
0.2,0.2,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5248520710059171,0.11856899707765554,715,65,0.09090909090909091,1.304258967854211
0.1,0.1,detection_ge_0.05,all_PRN_covered,quietness,0.3022021244651491,0.000517917330984313,317091,251,0.0007915708739762402,0.6542905354547681
0.1,0.1,detection_ge_0.05,all_PRN_covered,prn_counterdirection,0.614233892607829,0.001257073291958298,317091,251,0.0007915708739762402,1.5880742120332618
0.1,0.1,detection_ge_0.05,all_PRN_covered,prn_active_balance,0.6122737744892165,0.001250792910199832,317091,251,0.0007915708739762402,1.5801401381999003
0.1,0.1,detection_ge_0.05,optimal_pair_matched_1_to_10,quietness,0.4940683481214584,0.09064838755067187,2761,251,0.09090909090909091,0.9971322630573906
0.1,0.1,detection_ge_0.05,optimal_pair_matched_1_to_10,prn_counterdirection,0.5160084760559356,0.10609864169158559,2761,251,0.09090909090909091,1.1670850586074415
0.1,0.1,detection_ge_0.05,optimal_pair_matched_1_to_10,prn_active_balance,0.5168314788654148,0.10547107529826297,2761,251,0.09090909090909091,1.1601818282808927
0.1,0.1,detection_ge_0.10,all_PRN_covered,quietness,0.33331113881070024,0.0006724637275148553,257843,251,0.0009734605942375787,0.6907970712892941
0.1,0.1,detection_ge_0.10,all_PRN_covered,prn_counterdirection,0.6182970298995948,0.0015591805596171663,257843,251,0.0009734605942375787,1.6016884184596374
0.1,0.1,detection_ge_0.10,all_PRN_covered,prn_active_balance,0.6165059551229536,0.0015525862536936268,257843,251,0.0009734605942375787,1.5949143323152422
0.1,0.1,detection_ge_0.10,optimal_pair_matched_1_to_10,quietness,0.49389216044189777,0.09116916840245642,2761,251,0.09090909090909091,1.0028608524270206
0.1,0.1,detection_ge_0.10,optimal_pair_matched_1_to_10,prn_counterdirection,0.5150600784114537,0.10576221911791894,2761,251,0.09090909090909091,1.1633844102971083
0.1,0.1,detection_ge_0.10,optimal_pair_matched_1_to_10,prn_active_balance,0.5160330788400184,0.10492485485278846,2761,251,0.09090909090909091,1.154173403380673
0.1,0.1,detection_ge_0.25,all_PRN_covered,quietness,0.4066818542449115,0.0014332600996472056,139851,251,0.0017947672880422735,0.7985771242859019
